index,label,text
96883,0,dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_1288151332965298521 terminating
96888,0,dfs.DataNode$PacketResponder: Received block blk_7633573968959720639 of size 67108864 from /10.250.15.101
96903,0,dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_727384415632995899 terminating
96981,0,dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-8499703464124980991 terminating
97197,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-5464192463790039835 terminating
97254,0,dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-8758056911059469575 terminating
97956,0,dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_7888733806209341233 terminating
98099,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_7907797724760003565 terminating
98156,0,dfs.DataNode$DataXceiver: Receiving block blk_8216527804243120813 src: /10.251.90.134:46250 dest: /10.251.90.134:50010
98167,0,dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_4046240976305073465 terminating
98245,0,dfs.DataNode$DataXceiver: Receiving block blk_5667259385599240687 src: /10.251.91.229:57446 dest: /10.251.91.229:50010
98457,0,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000502_0/part-00502. blk_-640668962798276774
98512,0,dfs.DataNode$DataXceiver: Receiving block blk_-7238720713510435800 src: /10.251.75.49:32827 dest: /10.251.75.49:50010
98536,0,dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8595366454171037971 terminating
98646,0,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000662_0/part-00662. blk_2708027326290178699
98956,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-5429013809567491434 terminating
99015,0,dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_5416826712175296660 terminating
99154,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-3963360564283155757 terminating
99311,0,dfs.DataNode$DataXceiver: Receiving block blk_-300889966717262660 src: /10.251.31.180:45668 dest: /10.251.31.180:50010
99414,0,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.85:50010 is added to blk_13506759517628736 size 67108864
99526,0,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000813_0/part-00813. blk_5319134256455467375
99546,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-1205483695738899556 terminating
99621,0,dfs.DataNode$DataXceiver: Receiving block blk_1930370155805348871 src: /10.251.195.33:34383 dest: /10.251.195.33:50010
99645,0,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.121.224:50010 is added to blk_-4273500297444453042 size 67108864
99818,0,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001016_0/part-01016. blk_2700045196918529096
99831,0,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000976_0/part-00976. blk_7315643180259517667
100147,0,dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_7703538305391767693 terminating
100261,0,dfs.DataNode$DataXceiver: Receiving block blk_7885055843101788481 src: /10.250.14.38:59684 dest: /10.250.14.38:50010
100414,0,dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-6598295839233433316 terminating
100481,0,dfs.DataNode$DataXceiver: Receiving block blk_-1952802657012643000 src: /10.251.203.149:45457 dest: /10.251.203.149:50010
